GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
DPP8,0.00041931459916861425,6.751767365251043e-13,0.0,0.0,8.650977249758804e-17,1.4983657038129235e-09,4.025408566411499e-08,0.9995806436477044
FANCD2,5.8701375385335744e-05,1.9537000492347062e-13,0.0,0.0,2.5162762438578036e-17,3.837477267600497e-10,9.896922497148281e-09,0.9999412883437498
MICU1,0.0002953084546135232,1.7895030986101007e-12,0.0,0.0,2.9431947469605215e-16,2.476402139076574e-09,7.52393675587676e-08,0.999704613827827
GTF2F1,0.000120576561868855,1.2806855773064136e-13,0.0,0.0,1.5396593814881934e-17,3.476891952560251e-10,1.088487826862034e-08,0.9998794122054357
XRCC6,0.5694590749753163,0.00022132940562735487,0.0,0.0,2.5108651521522994e-08,0.30636259439942315,0.12395697611098165,2.2736882892596667e-49
TAPT1,0.0017192251119235392,3.767063082882102e-12,0.0,0.0,4.523306303861779e-16,1.0011837291231614e-08,1.4516590647345443e-07,0.9982806197065657
EDC4,0.00012106289846358069,1.9104846834664283e-13,0.0,0.0,2.7034309829427404e-17,3.945606709663854e-10,1.3519641113821562e-08,0.9998789231871437
SCLY,0.6807165873472858,5.3223988219628824e-05,0.0,0.0,3.6485163109651014e-09,0.17586303576379025,0.14336714925218771,9.790726156227494e-80
WDR5B,3.832621672153453e-05,7.58957540934371e-14,0.0,0.0,1.0680711710342766e-17,1.439052559109738e-10,4.324607862489819e-09,0.9999616693146902
CEP57,0.00014602725511974672,6.375514462488745e-13,0.0,0.0,8.210817556553661e-17,1.4311558259159358e-09,3.0272870438607875e-08,0.9998539410402169
PCM1,0.00026713850225305457,3.592274501899291e-13,0.0,0.0,4.868415779868622e-17,7.17870238891951e-10,2.8235178454181013e-08,0.9997328325443383
MSH3,4.3242754003098073e-05,7.782624785685378e-14,0.0,0.0,1.0190389619925836e-17,1.657058080142377e-10,4.846446283447229e-09,0.9999567522337666
CETN3,0.7666950871256984,3.4892007682941367e-09,0.0,0.0,4.071925872042329e-13,7.27416460936342e-06,0.00016649020088959856,0.23313114501919469
LRRC46,0.979149364595327,7.240328188913993e-07,0.0,0.0,6.779210971553178e-11,0.0022236359678821194,0.018626275336180022,7.405289086361714e-54
NHLRC3,0.0018293542454410627,7.023232801531826e-12,0.0,0.0,8.050811391561388e-16,1.872055757826387e-08,3.3919711353855586e-07,0.9981702878298642
