GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
TLE6,0.0,0.9936652294864177,1.1241644230688537e-99,2.5039988759395062e-11,0.0002684629254786733,0.006066307563062163,0.0,2.3689515743579263e-102
ARHGAP20,0.0,0.9536982045971784,7.218491007445162e-92,1.1847657581018312e-31,0.0007556196813185838,0.04554617572150136,0.0,0.0
ARHGEF28,0.0,0.9985559937431308,1.5719945657590525e-86,2.131712146020198e-22,0.000316691418200002,0.0011273148386698796,0.0,0.0
TPBG,0.0,0.9989656017179032,2.022662660134688e-101,9.076849738432609e-15,8.715282619618316e-06,0.0010256829994675898,0.0,0.0
TFPI2,0.0,0.9977623095549172,4.87142227838837e-99,2.7532950134248153e-12,7.064152625774874e-06,0.0022306262897029633,0.0,2.4707376481839715e-271
COG2,0.0,0.8623465020485641,1.9019626708676795e-94,1.3794722911857947e-09,0.00015721455312930132,0.1374962820188358,0.0,3.37856881879728e-246
DCHS1,0.0,0.0015686274459869142,9.997191707962412e-91,6.523482578630604e-37,0.0028928703952629297,0.9955385021587506,0.0,0.0
CILP2,0.0,0.05446038730054643,4.5258302121533216e-97,1.4591936506528908e-50,0.009042307329685351,0.9364973053697673,0.0,0.0
EPHB2,0.0,0.9034758884855575,1.6630374353303815e-101,1.2685610281734594e-18,0.0001479997281014577,0.09637611178634037,0.0,9.700239358131047e-245
GPC1,0.0,0.875989926745634,1.7464001074716313e-103,3.732877685166142e-16,0.0004931980589648775,0.12351687519540225,0.0,4.6864258092696616e-191
RYR2,0.0,0.012915588045828489,9.305886617674617e-89,5.738381482932731e-58,0.01430603277494625,0.9727783791792267,0.0,0.0
ALPI,0.0,6.1946792085767344e-12,1.1131380032731768e-67,1.2027849224692594e-103,0.007502664400513845,0.9924973355932925,0.0,0.0
ATXN7L2,0.0,1.9955294595195224e-14,1.1843221904703083e-72,4.1706853209970365e-88,0.9842454165265072,0.015754583473474096,0.0,0.0
MYO7B,0.0,0.9958659595424799,1.051362186331101e-94,1.409417518856063e-05,1.7410030981272798e-06,0.004118205279232809,0.0,5.315800902065602e-141
CD38,0.0,0.903338504242147,1.7376976868409357e-85,1.987282317685479e-18,0.0003743912780697369,0.09628710447978324,0.0,1.3214408097810765e-243
GRIA3,0.0,1.6993198688568337e-11,2.9877850909881196e-95,1.2302332608851198e-49,0.00010578678285748167,0.9998942132001495,0.0,0.0
ABT1,0.0,0.028587077698893067,8.340900458823704e-91,3.1653704427552596e-26,0.034932241571094036,0.9364806807300122,0.0,1.9e-322
ITIH3,0.0,0.012830409426466348,1.1487783899539131e-89,6.198157729416392e-29,0.0018106712254847245,0.9853589193480486,0.0,0.0
